id,company,title,pay,remote,employment_type,requirements,description,apply_url,source,date_found,category,verified
,,Medical Claims Support I,,TRUE,FULL_TIME,,"Letâs do great things, together! About Moda Founded in Oregon in 1955, Moda is proud to be a company of real people committed to quality. Today, like then, weâre focused on building a better future for healthcare. That starts by offering outstanding coverage to our members, compassionate support to our community and comprehensive benefits to our employees. It keeps going by connecting with neighbors to create healthy spaces and places, together. Moda values diversity and inclusion in our workplace. We aim to demonstrate our commitment to diversity through all our business practices and invite applications from candidates that share our commitment to this diversity. Our diverse experiences and perspectives help us become a stronger organization. Letâs be better together. Position Summary Investigates and processes claim adjustments for all medical lines of business and COB claim adjustments for Medicare/Medicaid plans. Also processes adjustments related to overpayment recovery, underpayment adjustments and other corrections. Performs COB updates (excluding Commercial), file reviews, issues adjustment related letters to members and providers, performs payment offsets and also validates and completes stop payment requests. Assists in customer service inquiries regarding contractual and administrative policies and applies excellent customer service when a phone call is needed to complete an adjustment or other support work. This is a FT WFH role. Pay Range $21.30 - $23.96 h",https://remoteOK.com/remote-jobs/remote-medical-claims-support-i-moda-health-1133369,remoteok,2026-06-13,remote-jobs,FALSE
,,Administrative Assistant,,TRUE,FULL_TIME,,Role DescriptionThis is a full-time remote role for an Administrative Assistant at a growingâ¦See this and similar jobs on LinkedIn.,https://remoteOK.com/remote-jobs/remote-administrative-assistant-somewhere-1133350,remoteok,2026-06-13,admin-support,FALSE
,,Paralegal,,TRUE,FULL_TIME,,"Paralegal â Commercial Contracts | Hybrid (One day a month) | 2-3 days/week | Immediate Start We're looking for a Paralegal with commercial contracts expertise to join our client part-time on a hybrid basis- attending the Cambridge office one day a month . This role has an immediate start. The initial term is 3 month but there is a position for this role to be converted into a permanent, in-house position. Our client is a UK-based company specialising in flexible electronics. You will be supporting the legal counsel to review a variety of commercial contracts across the organisation. What Youâll Do Handle NDAs and standard commercial contracts using existing templates and guidance. Support with contract reviews and contract admin (tracking, filing, keeping workflows moving). Assist with company secretarial / governance admin under the General Counselâs supervision. Help keep the legal function responsive and agile by picking up the work that otherwise sits with senior lawyers. What we're looking for: â¸ Proven experience as a paralegal in commercial contracts (in-house or private practice) â¸ Strong attention to detail, organised, good communication, and ability to work independently â¸ A genuine interest in technology. _______________________________________________________________________________ We celebrate and encourage diversity and inclusion in our company - itâs a vital part of our #humanfirst approach to business. Everyone is welcome to apply for our roles",https://remoteOK.com/remote-jobs/remote-paralegal-obelisk-support-1133352,remoteok,2026-06-12,remote-jobs,FALSE
,,Skilled Handyman,,TRUE,FULL_TIME,,"Benefits: Company parties Competitive salary Flexible schedule Free food & snacks Free uniforms If you love working with your hands, enjoy fixing things, and take pride in a job well done, this is the perfect opportunity for you! At Handyman Connection , we connect skilled handymen and handywomen with steady, high-quality workâwithout the headaches of running a business. You wonât have to worry about finding jobs, chasing payments, or dealing with customers on your own. We take care of that so you can focus on doing what you love. Handyman Connection is built on Core ValuesâDelivering on Our Commitments, Respecting the Connections, Taking Pride in Our Work, and Practicing Continuous Improvement. We are committed to helping you grow your skills, gain experience, and succeed in the trades. Why Join Handyman Connection? Work Without the Stress â We handle the scheduling, marketing, and customer service so you donât have to. Fair & Competitive Pay â We respect your skills. You and the owner will determine your earning needs based on experience. Steady Work, On Your Terms â Weâll schedule jobs that fit your availability, so you have consistent work and a predictable paycheck. Opportunity to Grow â Want to develop your skills and learn new trades? We provide steady projects that challenge you to get better every day. Professional Image, Local Reputation â We provide a branded uniform (t-shirt & hat) so you always look professional on the job. State-of-the-Art Di",https://remoteOK.com/remote-jobs/remote-skilled-handyman-red-deer-polytechnic-1133389,remoteok,2026-06-12,remote-jobs,FALSE
,,Administrative Assistant,,TRUE,FULL_TIME,,Part-Time Administrative Assistant - Development Team (Remote)Who We Are:The Asher House is aâ¦,https://remoteOK.com/remote-jobs/remote-administrative-assistant-the-asher-house-1133331,remoteok,2026-06-12,admin-support,FALSE
,,Healthcare Admin Assistant AI Projects,,TRUE,FULL_TIME,,"Role OverviewApply your administrative expertise to create and review structured, high-qualityâ¦See this and similar jobs on LinkedIn.",https://remoteOK.com/remote-jobs/remote-healthcare-admin-assistant-ai-projects-curasenseai-1133328,remoteok,2026-06-12,admin-support,FALSE
,,ASSISTENTE DE LOGISTICA REMOTO RESIDIR EM FORTALEZA PARA TREINAMENTO,,TRUE,FULL_TIME,,"VAGA ABERTA | FATURAMENTO (RESIDIR EM FORTALEZA PARA O TREINAMENTO) Regime CLT HorÃ¡rio - segunda a sÃ¡bado - 17h-22h Home-Office A Agrovale Transportes estÃ¡ com oportunidade aberta para o setor de Faturamento! Buscamos uma pessoa organizada, atenta aos detalhes, responsÃ¡vel e com vontade de crescer profissionalmente para fazer parte do nosso time. Principais atividades: EmissÃ£o e conferÃªncia de CT-e, notas fiscais e demais documentos de transporte; Realizar o faturamento de fretes e serviÃ§os prestados aos clientes; EmissÃ£o de contratos de frete e cumprimento de PGR; VerificaÃ§Ã£o e processamento de documentos de embarque, manifestos e comprovantes; Controle de faturamento, envio de comprovantes e organizaÃ§Ã£o documental; EmissÃ£o de faturas e boletos conforme procedimentos e exigÃªncias fiscais; LiberaÃ§Ã£o de adiantamento para motoristas; Controle e acompanhamento de recebimentos e pendÃªncias operacionais; Apoio Ã s rotinas administrativas e financeiras; Atendimento a clientes, motoristas e equipe operacional quando necessÃ¡rio; Apoio na resoluÃ§Ã£o de divergÃªncias e acompanhamento de pendÃªncias relacionadas ao faturamento; Contribuir para organizaÃ§Ã£o, melhoria e eficiÃªncia dos processos do setor.",https://remoteOK.com/remote-jobs/remote-assistente-de-logistica-remoto-residir-em-fortaleza-para-treinamento-agrovale-transportes-1133390,remoteok,2026-06-12,remote-jobs,FALSE
,,Medical Administrative Assistant,,TRUE,FULL_TIME,,"Posted 2:04:18 PM. Role OverviewApply your administrative expertise to create and review structured, high-qualityâ¦See this and similar jobs on LinkedIn.",https://remoteOK.com/remote-jobs/remote-medical-administrative-assistant-curasenseai-1133297,remoteok,2026-06-12,admin-support,FALSE
,,Medical Secretary,,TRUE,FULL_TIME,,"Role OverviewApply your administrative expertise to create and review structured, high-qualityâ¦See this and similar jobs on LinkedIn.",https://remoteOK.com/remote-jobs/remote-medical-secretary-curasenseai-1133288,remoteok,2026-06-12,remote-jobs,FALSE
,,Civil Engineer EN 8.42,,TRUE,FULL_TIME,,"Overview At Credence, we support our clientsâ mission-critical needs, powered by technology. We provide cutting-edge solutions, including AI/ML, enterprise modernization, and advanced intelligence capabilities, to the largest defense and health federal organizations. Through partnership and trust, we increase mission success for war-fighters and secure our nation for a better future. Â We are privately held, are repeatedly recognized as a top place to work, and have been on the Inc. 5000 Fastest Growing Private Companies list for the last 12 years. We practiceÂ servant leadership and believe that by focusing on the success of our clients, team members, and partners, we all achieve greater success. Â Credence has an immediate need for an experienced Part-time Administrative Assistant who will be primarily responsible for supporting AFLCMC/EN at Wright Patterson Air Force Base, OH. Â The Engineering Directorate (AFLCMC/EN-EZ) has the collective AFMC mission responsibility for preeminent engineering expertise to acquire and support war-winning capabilities. In order to meet current and projected workload requirements in support of AFLCMC/EN-EZ, the Government must augment its organic (military and civil service) capabilities with Advisory and Assistance Services (A&AS) support.Â AFLCMC/EN-EZ is headquartered at Wright-Patterson Air Force Base (WPAFB) OH with major units located at Eglin Air Force Base (AFB) FL, and Hanscom AFB, (HAFB) MA, as well as additional locations across",https://remoteOK.com/remote-jobs/remote-civil-engineer-en-8-42-credence-1133279,remoteok,2026-06-11,remote-jobs,FALSE
